Year,Author,Novel,Publisher or publication,Ref.
2018,Sam J. Miller,Blackfish City,"Ecco Press, Orbit UK",
2018,R. F. Kuang,The Poppy War,Harper Voyager,
2018,Naomi Novik,Spinning Silver,"Del Rey Books, Macmillan Publishers",
2018,Rebecca Roanhorse,Trail of Lightning,Saga Press,
2018,C. L. Polk,Witchmark,Tor.com Publishing,
2019,Sarah Pinsker*,A Song for a New Day,Berkley Press,
2019,Charles E. Gannon,Marque of Caine,Baen Books,
2019,Alix E. Harrow,The Ten Thousand Doors of January,Orbit Books,
2019,Arkady Martine,A Memory Called Empire,Tor Books,
2019,Silvia Moreno-Garcia,Gods of Jade and Shadow,"Del Rey Books, Jo Fletcher Books",
2019,Tamsyn Muir,Gideon the Ninth,Tor.com Publishing,
2020,Martha Wells*,Network Effect,Tor.com Publishing,
2020,Susanna Clarke,Piranesi,Bloomsbury Publishing,
2020,N. K. Jemisin,The City We Became,Orbit Books,
2020,Silvia Moreno-Garcia,Mexican Gothic,Del Rey Books,
2020,C. L. Polk,The Midnight Bargain,Erewhon Books,
2020,Rebecca Roanhorse,Black Sun,Saga Press,
2021,P. Djèlí Clark*,A Master of Djinn,Tor.com Publishing,
2021,C. L. Clark,The Unbroken,Orbit Books,
2021,S. B. Divya,Machinehood,Saga Press,
2021,Arkady Martine,A Desolation Called Peace,Tor.com Publishing,
2021,Jason Sanford,Plague Birds,Apex,
2022,R. F. Kuang*,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,Harper Voyager,
2022,Travis Baldree,Legends & Lattes,"Cryptid Press, Tor Books",
2022,Nicola Griffith,Spear,Tordotcom,
2022,T. Kingfisher,Nettle & Bone,"Tor Books, Titan Books",
2022,Tamsyn Muir,Nona the Ninth,Tordotcom,
2022,Ray Nayler,The Mountain in the Sea,"MCD, Weidenfeld & Nicolson",
2023,Vajra Chandrasekera*,The Saint of Bright Doors,Tordotcom,
2023,S. L. Huang,The Water Outlaws,"Tordotcom, Solaris UK",
2023,Ann Leckie,Translation State,"Orbit US, Orbit UK",
2023,Annalee Newitz,The Terraformers,"Tordotcom, Orbit UK",
2023,Wole Talabi,Shigidi and the Brass Head of Obalufon,"DAW Books, Gollancz",
2023,Martha Wells,Witch King,Tordotcom,
2024,John Wiswell*,Someone You Can Build a Nest In,"DAW Books, Arcadia",
2024,Kerstin Hall,Asunder,Tordotcom,
2024,Kelly Link,The Book of Love,"Random House, Ad Astra Press",
2024,Vajra Chandrasekera,Rakesfall,Tordotcom,
2024,Yaroslav Barsukov,Sleeping Worlds Have No Memory,Caezik SF & Fantasy,
2024,T. Kingfisher,A Sorceress Comes to Call,"Tor Books, Titan Books",
2025,Stephen Graham Jones*,The Buffalo Hunter Hunter,"Saga Press, Titan UK",
2025,Daryl Gregory,When We Were Real,Saga Press,
2025,R. F. Kuang,Katabasis,Harper Voyager,
2025,Nnedi Okorafor,Death of the Author,"William Morrow and Company, Victor Gollancz",
2025,Emily Tesh,The Incandescent,"Tor Books, Orbit UK",
2025,Natalia Theodoridou,Sour Cherry,"Tin House, Wildfire",
2025,John Wiswell,Wearing the Lion,"DAW Books, Arcadia Books",
